time,temperature,pressure,gas,pm25,aqi
0,31.26,1006.39,261,61.65,153.5
2,31.26,1006.38,272,59.39,152.31
4,31.25,1006.41,259,59.35,152.29
6,31.25,1006.43,258,56.22,150.64
8,31.24,1006.37,254,57.43,151.28
10,31.22,1006.4,256,53.72,146.8
12,31.21,1006.41,258,56.44,150.76
14,31.2,1006.4,256,56.27,150.67
16,31.19,1006.4,253,61.12,153.22
18,31.17,1006.4,251,60.78,153.04
20,31.15,1006.42,256,61.18,153.25
23,31.12,1006.46,252,63.1,154.26
25,31.08,1006.41,251,61.94,153.65
27,31.06,1006.41,258,59.96,152.61
29,31.05,1006.41,245,64.78,155.15
31,30.91,1006.42,208,59.68,152.47
33,30.64,1006.42,174,59.41,152.32
35,30.2,1006.43,161,57.75,151.45
37,29.52,1006.47,151,66.37,155.99
39,28.85,1006.48,161,61.49,153.42
41,28.22,1006.48,169,56.86,150.98
44,27.87,1006.42,173,60.13,152.7
46,27.49,1006.48,171,54.65,149.14
48,27.19,1006.51,169,59.84,152.55
50,26.89,1006.45,171,57.67,151.4
52,26.62,1006.48,167,55.54,150.28
54,26.36,1006.47,176,62.21,153.8
56,26.15,1006.47,174,61.94,153.65
58,25.95,1006.5,173,60.05,152.66
60,25.76,1006.49,176,58.75,151.97
62,25.56,1006.49,185,56.69,150.89
65,25.38,1006.52,176,62.89,154.15
67,25.22,1006.45,195,58.96,152.08
69,25.06,1006.5,206,57.7,151.42
71,24.93,1006.48,208,56.02,150.54
73,24.84,1006.46,206,55.99,150.52
75,24.72,1006.43,222,58.25,151.71
77,24.61,1006.44,235,58.28,151.73
79,24.51,1006.46,228,56.93,151.01
81,24.42,1006.51,233,57.78,151.46
84,24.29,1006.44,243,55.77,150.4
86,24.19,1006.45,227,59.44,152.34
88,24.08,1006.44,244,57.83,151.49
90,24.01,1006.48,246,56.78,150.94
92,23.89,1006.48,245,51.56,141.4
94,23.83,1006.5,259,54.12,147.81
96,23.75,1006.47,256,53.85,147.12
98,23.7,1006.5,255,55.04,150.02
100,23.62,1006.46,249,55.36,150.19
102,23.56,1006.52,256,54.77,149.42
105,23.5,1006.46,263,56.83,150.96
107,23.5,1006.5,256,51.75,141.88
109,23.46,1006.48,264,54.72,149.3
111,23.4,1006.48,272,51.93,142.33
113,23.36,1006.47,275,56.83,150.96
115,23.31,1006.51,283,52.91,144.79
117,23.26,1006.5,281,53.59,146.48
119,23.23,1006.46,299,52.72,144.3
121,23.2,1006.48,298,57.23,151.18
123,23.19,1006.5,305,56.78,150.94
126,23.15,1006.47,304,60.33,152.8
128,23.14,1006.45,298,55.57,150.3
130,23.12,1006.5,278,52.19,142.97
132,23.1,1006.45,303,52.79,144.46
134,23.1,1006.42,293,58.27,151.72
136,23.08,1006.47,301,52.83,144.58
138,23.08,1006.44,314,55.2,150.11
140,23.09,1006.5,307,53.67,146.68
142,23.07,1006.47,318,53.59,146.48
144,23.04,1006.43,316,55.3,150.16
147,23.02,1006.45,314,54.33,148.33
149,22.99,1006.42,321,51.03,140.07
151,22.97,1006.45,330,50.03,137.57
153,22.95,1006.43,334,56.17,150.62
155,22.93,1006.51,329,56.04,150.55
157,22.88,1006.46,322,56.32,150.69
159,22.85,1006.49,326,53.88,147.2
161,22.82,1006.48,335,56.57,150.83
163,22.79,1006.46,334,58.8,152
165,22.74,1006.47,347,55.25,150.13
168,22.68,1006.44,343,54.09,147.73
170,22.63,1006.43,334,56.38,150.73
172,22.61,1006.45,341,56.27,150.67
174,22.59,1006.48,348,52,142.49
176,22.56,1006.48,355,50.22,138.06
178,22.52,1006.43,346,53.91,147.28
180,22.51,1006.46,361,57.2,151.16
182,22.48,1006.45,353,53.35,145.87
184,22.46,1006.43,354,55.15,150.08
187,22.44,1006.49,357,52.12,142.81
189,22.4,1006.45,352,53.66,146.64
191,22.34,1006.49,357,55.59,150.31
193,22.29,1006.52,354,52.22,143.05
195,22.25,1006.49,351,52.04,142.61
197,22.2,1006.46,362,56.28,150.68
199,22.18,1006.47,355,54.24,148.09
201,22.16,1006.52,367,51.54,141.36
203,22.14,1006.51,369,52.08,142.69
205,22.12,1006.58,372,57.04,151.07
208,22.09,1006.52,368,55.28,150.15
210,22.06,1006.48,384,51.17,140.43
212,22.04,1006.51,385,53.35,145.87
214,22.02,1006.49,384,54.65,149.14
216,21.99,1006.52,380,52.77,144.42
218,21.95,1006.52,380,51.14,140.35
220,21.92,1006.51,381,53.4,145.99
222,21.9,1006.52,386,51.01,140.03
224,21.86,1006.5,384,51.71,141.76
226,21.86,1006.5,407,51.83,142.09
229,21.89,1006.51,418,50.27,138.18
231,21.97,1006.5,464,50.34,138.34
233,22.06,1006.5,469,54.14,147.85
235,22.17,1006.52,433,49.67,136.69
